t,latitude,longitude,altitude
0,47.966559443420266,-81.87392616490645,1358.940747215588
1.0,47.96659156135363,-81.87425630774769,1399.5043408200008
2.0,47.96648601822626,-81.87402280417406,1477.1937290277983
3.0,47.96658068019757,-81.87372347386422,1596.4836825607458
4.0,47.9663964681045,-81.87304987542736,1834.022690871205
5.0,47.96654413464422,-81.87257087121442,2140.5199605523676
6.0,47.966457035953276,-81.872049610908,2480.424061808642
7.0,47.96646590296112,-81.8715333492933,2879.3319370167164
8.0,47.96633573068393,-81.87055394529214,3294.359841079093
9.0,47.966304035138606,-81.86967680712124,3724.93977235778
10.0,47.96610920295102,-81.86854642181837,4106.967697090601
11.0,47.96604143900018,-81.86746660873179,4552.895098710252
12.0,47.96591801646198,-81.86685346571791,4949.1452360158955
13.0,47.96576988790074,-81.86557169376101,5319.742721282688
14.0,47.96598731218238,-81.86485994549886,5679.272059015467
15.0,47.9659024977491,-81.8640726254686,6018.382008043613
16.0,47.965692148111565,-81.86339873053264,6334.743339618356
17.0,47.96579024613862,-81.8623465845246,6657.167958555414
18.0,47.96564365708041,-81.86183720749224,6934.985619196474
19.0,47.965677372336145,-81.86081775540931,7223.705736768478
20.0,47.96565361670399,-81.86013597333958,7499.050666100108
21.0,47.96575136296026,-81.85950486197639,7724.5707622610225
22.0,47.9657848623556,-81.858615581632,7999.867283771152
23.0,47.965631630248325,-81.85789857917185,8249.824463286228
24.0,47.965337896477735,-81.85743350122678,8396.38250076911
25.0,47.96530366732056,-81.85643676203968,8622.955440140833
26.0,47.965491527701474,-81.85588188878873,8774.337277547636
27.0,47.96528405907763,-81.8549713458785,8968.239267879724
28.0,47.96536569503403,-81.85438837934937,9166.856019813993
29.0,47.96541518237766,-81.8538476574041,9289.896417285674
30.0,47.965205913568575,-81.85288454034936,9402.347126326427
31.0,47.965265973550665,-81.85233977899632,9564.36949429176
32.0,47.96525376112532,-81.85171867253776,9649.060968845317
33.0,47.96542254979106,-81.8508876244702,9758.84136295392
34.0,47.96513654321805,-81.85004609412536,9891.21441542922
35.0,47.9651804649774,-81.84976599792651,9983.697475852125
36.0,47.965293890414266,-81.84885463839703,10041.730920160948
37.0,47.965063381679535,-81.84795790550912,10131.06668223481
38.0,47.965016664832824,-81.84756966141794,10209.32084369221
39.0,47.96498474715323,-81.84688523842397,10244.556152457857
40.0,47.96509451164346,-81.84608360310914,10267.264979543792
41.0,47.96491815848032,-81.84568015739225,10294.391021908483
42.0,47.96484533771395,-81.84512800560123,10352.827939205916
43.0,47.96485800257645,-81.84451562492941,10322.38206387034
44.0,47.96485460491586,-81.843299729529,10321.75967112851
45.0,47.9646565312328,-81.84295012476328,10319.673950940145
46.0,47.96458188012534,-81.84285962529947,10321.699794750584
47.0,47.96468298027009,-81.84258437048653,10276.740541086396
48.0,47.96481626503569,-81.84219527570652,10303.725719227892
49.0,47.96475162932676,-81.84206468364387,10244.800193495852
50.0,47.964743700746624,-81.84176761305561,10235.262876311479
51.0,47.964734227007206,-81.84173051737088,10180.534429468693
52.0,47.964632657201314,-81.84149992616972,10172.914122687396
53.0,47.96461110305558,-81.84122909167645,10106.160640243239
54.0,47.96462466528692,-81.84137791816956,10070.405909554616
55.0,47.964839046157195,-81.84127365971656,10071.60850328686
56.0,47.964695911922384,-81.8411575019979,9973.1955681244
57.0,47.964640656797876,-81.84130109435593,9976.915941020574
58.0,47.964905765356754,-81.84138410630113,9910.39584902187
59.0,47.96452522532348,-81.8411383246047,9897.838172807713
60.0,47.96477682393171,-81.84124380066746,9845.699178993525
61.0,47.964814006485526,-81.84107277997876,9782.971072168019
62.0,47.96464580497922,-81.84138927193004,9717.57957669787
63.0,47.96472046606776,-81.84156610393141,9738.770294477614
64.0,47.96482038993266,-81.84154262050315,9721.647378678997
65.0,47.96473841692126,-81.84161491469726,9635.396284749604
66.0,47.96469760737022,-81.84142002731608,9599.81997625441
67.0,47.96481891661769,-81.8417113440834,9565.533960405
68.0,47.96482315813456,-81.8414630120869,9529.175040843911
69.0,47.964752843242856,-81.84182425119843,9500.522555650788
70.0,47.96494121305425,-81.84144169204767,9451.432799058028
71.0,47.964707423332044,-81.84174748559687,9429.78782917973
72.0,47.96499291353391,-81.84182361134421,9348.889249698512
73.0,47.964710357563746,-81.84177922386166,9319.481852386325
74.0,47.964926019477545,-81.84195671840757,9295.818982564422
75.0,47.96494855397159,-81.84166686651669,9219.759773431884
76.0,47.96502893656847,-81.84180979622339,9201.398530581604
77.0,47.964791133820185,-81.84188788424976,9171.647519789822
78.0,47.96486613767453,-81.8421411429306,9156.400176377929
79.0,47.964872510722756,-81.84202708310804,9111.519296485229
80.0,47.964984626453166,-81.84220407866084,9106.788550311503
81.0,47.964946327340826,-81.84220966671538,8994.218197082324
82.0,47.965112847980144,-81.84229975598114,8961.105601148045
83.0,47.96481215174191,-81.8423247116338,8955.392825310179
84.0,47.96495737383043,-81.84211268931068,8943.764707467892
85.0,47.964781651779894,-81.84200157222554,8860.531224719885
86.0,47.965164908499474,-81.84238660913108,8824.782275646266
87.0,47.96489643407015,-81.84219112906408,8813.833748806372
88.0,47.964886337801495,-81.84220057893874,8807.197205060093
89.0,47.96497368938022,-81.84249157246977,8730.275180101964
90.0,47.965023453024365,-81.84232792666303,8704.861871144496
91.0,47.964940341662505,-81.84257369884442,8688.874239070215
92.0,47.965040802183125,-81.84253206050154,8607.594264805455
93.0,47.96518393425696,-81.84239148723323,8567.202795355613
94.0,47.9648641409046,-81.84222203771341,8562.31163121711
95.0,47.96500283335759,-81.8427365319564,8505.96723588596
