t,wx,wy,wz
0,0.0,0.3987435263312508,0.6893098012719576
0.01,0.0,0.477680868277938,0.5592253650409834
0.02,0.0,0.5325447371659675,0.6554283051774059
0.03,0.0,0.2927174304737525,0.503195142761937
0.04,0.0,0.41537290371090635,0.8037271747956116
0.05,0.0,0.25372688784786745,1.4075510114716778
0.06,0.0,0.08628354645120795,0.8802418553897884
0.07,0.0,0.33789735592041986,0.8655506947144842
0.08,0.0,0.47896160647404695,0.7321147972385313
0.09,0.0,0.35020385856506403,0.3637493014864145
0.1,0.0,0.08484691108678011,0.3417616593441565
0.11,0.0,0.46038956974396256,-0.24380461050048863
0.12,0.0,0.13250947010155206,0.3412497851630753
0.13,0.0,0.11221849817688043,0.24144842527404847
0.14,0.0,0.46850900640483234,1.1392687388641332
0.15,0.0,0.30848502265071004,0.49159587710314867
0.16,0.0,0.583482512982636,0.4170590317400613
0.17,0.0,-0.018072307297506807,1.1700708941483033
0.18,0.0,0.726778458412817,1.2110649730931207
0.19,0.0,0.30084590373932135,-0.10037907216900444
0.2,0.0,0.27067716378786666,1.4449656916248375
0.21,0.0,0.11471455928303464,0.6935622558549009
0.22,0.0,0.2489379973444278,0.7382528291191628
0.23,0.0,0.49525637807576317,0.25789983578724185
0.24,0.0,0.5160549349604522,0.10053739195415473
0.25,0.0,-0.03195480077450913,0.6562655971532633
0.26,0.0,0.6274934591878859,0.04749677006307834
0.27,0.0,0.18100327386048642,0.346321687428407
0.28,0.0,0.3421472820585404,0.5525047766320915
0.29,0.0,0.10135662982307408,0.6538445087808502
0.3,0.0,0.19641257113756821,1.2548969086561357
0.31,0.0,0.579925840269466,-0.029684325038567994
0.32,0.0,0.39413814547789583,-0.07760009303506432
0.33,0.0,0.6219147508576576,0.7188707087520193
0.34,0.0,0.13454531093805538,-0.7483645549858129
0.35000000000000003,0.0,0.5290821023850159,0.5854036090207182
0.36,0.0,0.806602083186696,0.17866537451752673
0.37,0.0,0.11156079826777729,0.5098798272033659
0.38,0.0,0.36602926745886305,1.1261735302932063
0.39,0.0,0.35225910365302754,1.081900736858615
0.4,0.0,0.8314061745632875,1.0212482594070016
0.41000000000000003,0.0,0.3966330632383258,0.8892744919496034
0.42,0.0,0.5427832962981545,-0.21059696170244813
0.43,0.0,0.6857907614279722,0.8262209343912796
0.44,0.0,0.4809347617731359,0.027366990397017732
0.45,0.0,0.17499967240803646,0.42610663651855657
0.46,0.0,0.7092117936213438,0.7740481201119158
0.47000000000000003,0.0,0.06664655391005797,0.49997593002808943
0.48,0.0,0.1819873661141697,1.4234568693725844
0.49,0.0,0.5075275009425843,0.7324301138186448
0.5,0.0,-0.29365776567909335,0.9228729325598972
0.51,0.0,0.35862856101993523,0.7064691158698215
0.52,0.0,-0.389622028254392,0.36792579668641756
0.53,0.0,0.48960066593404755,0.16423376467377898
0.54,0.0,0.2870328084006527,1.0474596040914608
0.55,0.0,0.09301605670075125,1.1660578775891575
0.56,0.0,0.7794383172878594,0.6223863777395248
0.5700000000000001,0.0,0.9006854570815415,0.4231938419208813
0.58,0.0,0.07299587776716313,0.18491643260981672
0.59,0.0,-0.17232118741961716,1.1237224473221452
0.6,0.0,0.5002207089748978,0.2289525147665361
0.61,0.0,0.41497468293897083,0.4634888232116722
0.62,0.0,-0.04022759682632904,0.27316696020667086
0.63,0.0,0.45953861885926084,1.0410695797035836
0.64,0.0,0.44326503025753106,0.5226773464721339
0.65,0.0,0.2913451568160306,0.2646180771061707
0.66,0.0,0.8471910567702017,0.14618450431770635
0.67,0.0,-0.2319180867466361,0.40327339607676166
0.68,0.0,0.2787221010626442,0.4529105458366093
0.6900000000000001,0.0,0.3784043214692675,0.2898489638825137
0.7000000000000001,0.0,0.17183519449597054,-0.042608029227757305
0.71,0.0,0.6703726265027272,-0.5307653186051713
0.72,0.0,0.39832319056913396,0.27300874791083507
0.73,0.0,0.2989700245443308,0.7057711901296899
0.74,0.0,0.7218661063949194,1.3258664321166262
0.75,0.0,0.11016385932594686,0.7505880438023635
0.76,0.0,0.44608264638363504,0.66632051176457
0.77,0.0,0.4843398962263282,0.05905311783723377
0.78,0.0,0.6143190358704678,0.6783049697835227
0.79,0.0,-0.02786324776009641,1.163356445690308
0.8,0.0,0.4553296257199051,0.48518178470012396
0.81,0.0,0.2974629359475235,0.3730137950737218
0.8200000000000001,0.0,0.29468942541895105,-0.09614391311972348
0.8300000000000001,0.0,-0.08103799864185818,-0.24985393149959645
0.84,0.0,0.4771048269370169,0.6200929856165819
0.85,0.0,0.465482778989811,-0.35417576084617053
0.86,0.0,0.22111484559078354,0.5952457676205067
0.87,0.0,0.3591218934324099,0.8200362017973561
0.88,0.0,0.4981544608740144,0.7057709941902663
0.89,0.0,0.5649743497994628,0.4358015741768718
0.9,0.0,0.24765620740223124,0.18523368390578704
0.91,0.0,0.5060117182419646,1.3863583604963758
0.92,0.0,0.048221679558287434,-0.04818145336291524
0.93,0.0,0.5985583159904182,0.36573480888137
0.9400000000000001,0.0,0.40162986043710763,0.38124326879847703
0.9500000000000001,0.0,0.19788000973637254,0.808816820758415
0.96,0.0,0.4850412632513864,0.3430147059562716
0.97,0.0,0.19376521476356112,-0.20945578305751544
0.98,0.0,0.21981122583633364,0.5577526660453901
0.99,0.0,0.3280695230167112,1.0361058828605036
1.0,-0.0005053456705941395,0.43238110461460527,0.22670017149084715
1.01,-0.0010581951467769997,0.06785550802534963,-0.24747225952414842
1.02,-0.0016248072577226883,-0.06207366222922066,1.235854580452433
1.03,-0.002205293352873806,0.24658306177357997,0.005123396486884146
1.04,-0.002799685322302109,0.771075999908861,0.6507340401417219
1.05,-0.003407983499667039,0.05084522053922079,0.9126406021506754
1.06,-0.004030230157870937,0.5698404782715026,0.33086444180630004
1.07,-0.0046662352759157,0.10283864062463223,0.912082459863096
1.08,-0.005316015794590567,0.5091900637917243,0.6870846064075592
1.09,-0.005979514626174233,-0.0729862911704173,-0.37159424004263975
1.1,-0.0066566622869790966,0.679111213215872,0.3994390181641383
1.11,-0.007347377394777029,0.05140077460930313,-0.17024792807295863
1.12,-0.008051557545414787,0.9146800202290546,0.39484893401422916
